,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
514,Virginia,Loudoun,1436799.0
515,Wyoming,Hot Springs,1432930.0
516,Kansas,Haskell,1421986.0
517,Oklahoma,Pottawatomie,1419597.0
518,Kentucky,Henderson,1416066.0
519,Michigan,Presque Isle,1380413.0
520,Pennsylvania,Cambria,1368155.0
521,Texas,McCulloch,1354013.0
522,California,Sonoma,1353924.0
523,Massachusetts,Middlesex,1346378.0
524,Tennessee,Knox,1345568.0
525,Wyoming,Crook,1343876.0
526,Mississippi,Hinds,1341066.0
527,Illinois,Montgomery,1334871.0
528,Illinois,Wabash,1331456.0
529,Pennsylvania,Mercer,1327476.0
530,Florida,Lee,1322071.0
531,Pennsylvania,Crawford,1319126.0
532,Ohio,Lake,1304383.0
533,Montana,Jefferson,1303173.0
534,Texas,Wilbarger,1289497.0
535,New York,Tompkins,1270613.0
536,Pennsylvania,Bucks,1266004.0
537,Louisiana,Rapides,1264845.0
538,New York,Livingston,1261762.0
539,North Dakota,Oliver,1257597.0
540,Kansas,Johnson,1246758.0
541,Michigan,Monroe,1244185.0
542,Georgia,Pickens,1236241.0
543,Oregon,Washington,1225990.0
544,Arkansas,Logan,1225180.0
545,Illinois,Jackson,1224888.0
546,Illinois,Perry,1213255.0
547,Maryland,Montgomery,1207642.0
548,Pennsylvania,Berks,1207256.0
549,New Jersey,Passaic,1207174.0
550,North Carolina,Mecklenburg,1204343.0
551,New York,Suffolk,1201185.0
552,Pennsylvania,Clarion,1198429.0
553,Texas,Franklin,1195381.0
554,Utah,Summit,1190689.0
555,Pennsylvania,Elk,1188594.0
556,Georgia,Decatur,1185942.0
557,California,Yolo,1185319.0
558,Arkansas,Franklin,1180073.0
559,Mississippi,Yazoo,1174601.0
560,Kentucky,Pendleton,1168477.0
561,Minnesota,Dakota,1165372.0
562,Utah,Grand,1160018.0
563,Texas,Runnels,1155988.0
564,New York,Chemung,1144131.0
565,Texas,Hopkins,1143941.0
566,Pennsylvania,Luzerne,1143470.0
